"station","num_bikes"
"10",25
"11",24
"12",35
"13",27
"14",0
"15",2
"16",41
"17",55
"18",36
"19",1
"21",38
"22",48
"23",40
"4",34
"5",41
"6",7
"7",19
"8",12
"9",15
